Epoch 1: Train Loss=0.0171, Train PSNR=30.70dB, Val Loss=0.0143, Val PSNR=32.27dB
Epoch 2: Train Loss=0.0156, Train PSNR=31.09dB, Val Loss=0.0144, Val PSNR=31.48dB
Epoch 3: Train Loss=0.0159, Train PSNR=30.62dB, Val Loss=0.0157, Val PSNR=30.88dB
Epoch 4: Train Loss=0.0157, Train PSNR=30.79dB, Val Loss=0.0149, Val PSNR=31.08dB
Epoch 5: Train Loss=0.0155, Train PSNR=30.97dB, Val Loss=0.0140, Val PSNR=31.47dB
Epoch 6: Train Loss=0.0155, Train PSNR=30.82dB, Val Loss=0.0160, Val PSNR=30.27dB
Epoch 7: Train Loss=0.0156, Train PSNR=30.63dB, Val Loss=0.0148, Val PSNR=31.22dB
Epoch 8: Train Loss=0.0151, Train PSNR=31.15dB, Val Loss=0.0139, Val PSNR=31.74dB
Epoch 9: Train Loss=0.0155, Train PSNR=30.90dB, Val Loss=0.0148, Val PSNR=31.47dB
Epoch 10: Train Loss=0.0151, Train PSNR=31.06dB, Val Loss=0.0172, Val PSNR=29.96dB
Epoch 11: Train Loss=0.0154, Train PSNR=30.88dB, Val Loss=0.0148, Val PSNR=31.05dB
Epoch 12: Train Loss=0.0152, Train PSNR=31.15dB, Val Loss=0.0161, Val PSNR=31.00dB
Epoch 13: Train Loss=0.0154, Train PSNR=30.94dB, Val Loss=0.0155, Val PSNR=30.76dB
Epoch 14: Train Loss=0.0152, Train PSNR=30.97dB, Val Loss=0.0158, Val PSNR=31.02dB
Epoch 15: Train Loss=0.0151, Train PSNR=31.04dB, Val Loss=0.0154, Val PSNR=31.69dB
Epoch 16: Train Loss=0.0148, Train PSNR=31.45dB, Val Loss=0.0139, Val PSNR=31.94dB
Epoch 17: Train Loss=0.0146, Train PSNR=31.29dB, Val Loss=0.0140, Val PSNR=31.48dB
Epoch 18: Train Loss=0.0150, Train PSNR=31.05dB, Val Loss=0.0160, Val PSNR=30.65dB
Epoch 19: Train Loss=0.0153, Train PSNR=30.91dB, Val Loss=0.0158, Val PSNR=31.10dB
Epoch 20: Train Loss=0.0149, Train PSNR=31.16dB, Val Loss=0.0163, Val PSNR=30.49dB
Epoch 21: Train Loss=0.0152, Train PSNR=30.78dB, Val Loss=0.0151, Val PSNR=30.98dB
Epoch 22: Train Loss=0.0147, Train PSNR=31.19dB, Val Loss=0.0152, Val PSNR=31.22dB
Epoch 23: Train Loss=0.0147, Train PSNR=31.27dB, Val Loss=0.0152, Val PSNR=31.38dB
Epoch 24: Train Loss=0.0145, Train PSNR=31.37dB, Val Loss=0.0132, Val PSNR=32.05dB
Epoch 25: Train Loss=0.0146, Train PSNR=31.11dB, Val Loss=0.0152, Val PSNR=31.60dB
Epoch 26: Train Loss=0.0144, Train PSNR=31.38dB, Val Loss=0.0148, Val PSNR=30.88dB
Epoch 27: Train Loss=0.0151, Train PSNR=31.08dB, Val Loss=0.0149, Val PSNR=31.44dB
Epoch 28: Train Loss=0.0144, Train PSNR=31.43dB, Val Loss=0.0138, Val PSNR=31.43dB
Epoch 29: Train Loss=0.0152, Train PSNR=30.94dB, Val Loss=0.0144, Val PSNR=31.87dB
Epoch 30: Train Loss=0.0142, Train PSNR=31.67dB, Val Loss=0.0154, Val PSNR=31.01dB
Epoch 31: Train Loss=0.0146, Train PSNR=31.23dB, Val Loss=0.0131, Val PSNR=32.54dB
Epoch 32: Train Loss=0.0144, Train PSNR=31.09dB, Val Loss=0.0138, Val PSNR=31.88dB
Epoch 33: Train Loss=0.0139, Train PSNR=31.68dB, Val Loss=0.0149, Val PSNR=31.32dB
Epoch 34: Train Loss=0.0143, Train PSNR=31.45dB, Val Loss=0.0151, Val PSNR=31.31dB
Epoch 35: Train Loss=0.0143, Train PSNR=31.56dB, Val Loss=0.0147, Val PSNR=31.11dB
Epoch 36: Train Loss=0.0145, Train PSNR=31.30dB, Val Loss=0.0146, Val PSNR=31.81dB
Epoch 37: Train Loss=0.0152, Train PSNR=30.64dB, Val Loss=0.0140, Val PSNR=31.88dB
Epoch 38: Train Loss=0.0141, Train PSNR=31.52dB, Val Loss=0.0141, Val PSNR=31.26dB
Epoch 39: Train Loss=0.0143, Train PSNR=31.46dB, Val Loss=0.0142, Val PSNR=31.94dB
